# Copyright 2021 Google LLC
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     https://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.
#
#
# This is a larger example typo dictionary containing 400 entries. It builds to
# a table of about 6000 bytes, so you'll need a keyboard with a generous
# amount of free firmware space to use the full dictionary. Alternatively, pick
# out a subset of entries to a separate file, then build a table from that.
#
# Dictionary syntax:
# Each line of this file defines one typo correction entry with the syntax
# "typo -> correction". Typos and corrections are case insensitive, and any
# whitespace before or after the typo and correction is ignored. The typo must be
# only the letters a-z, or the special character : representing a word break.
#
# For documentation about how to use this dictionary, see
# https://getreuer.info/posts/keyboards/autocorrection
#
# Further resources:
#  * Wikipedia has a large list of common typos at
#    https://en.wikipedia.org/wiki/Wikipedia:Lists_of_common_misspellings/For_machines
#
#  * EmacsWiki has another list of typos at
#    https://www.emacswiki.org/emacs/autocorrection_abbrev_defs
#
#  * You can find data on English word frequencies at
#    https://www.wordfrequency.info/samples.asp


## 10 most common words.
# The words "there", "about", "their", "would", "people", "which", "could",
# "think", "other", and "because" are among the most common words in English
# that are 5 letters or longer. (We don't include entries for words shorter than
# that to avoid false triggering.)
:htere        -> there
:effeciency: -> efficiency
:effecient: -> efficient
:effeciently: -> efficiently
:efficency: -> efficiency
:efficent: -> efficient
:efficently: -> efficiently
:efford: -> effort
:effords: -> efforts
:eigth: -> eight
:elction: -> election
:electic: -> electric
:electon: -> election
:electrial: -> electrical
:electricty: -> electricity
:elementay: -> elementary
:eletricity: -> electricity
:eligable: -> eligible
:elimentary: -> elementary
:ellected: -> elected
:elphant: -> elephant
:emmediately: -> immediately
:emmision: -> emission
:emmisions: -> emissions
:emperical: -> empirical
:emphsis: -> emphasis
:empirial: -> empirical
:enchancement: -> enhancement
:encouraing: -> encouraging
:encryptiion: -> encryption
:encylopedia: -> encyclopedia
:endig: -> ending
:ened: -> need
:engagment: -> engagement
:engeneer: -> engineer
:engeneering: -> engineering
:engieneer: -> engineer
:engieneers: -> engineers
:enlargment: -> enlargement
:enoguh: -> enough
:enourmous: -> enormous
:enteratinment: -> entertainment
:entitity: -> entity
:entitlied: -> entitled
:entrepeneur: -> entrepreneur
:entrepeneurs: -> entrepreneurs
:enviorment: -> environment
:enviormental: -> environmental
:enviorments: -> environments
:enviornment: -> environment
:enviornmental: -> environmental
:enviornments: -> environments
:enviroment: -> environment
:enviromental: -> environmental
:enviroments: -> environments
:envrionments: -> environments
:enxt: -> next
:epidsodes: -> episodes
:epsiode: -> episode
:equialent: -> equivalent
:equilibium: -> equilibrium
:equilibrum: -> equilibrium
:equiped: -> equipped
:equippment: -> equipment
:equivelant: -> equivalent
:equivelent: -> equivalent
:equivilant: -> equivalent
:equivilent: -> equivalent
:equivlalent: -> equivalent
:erally: -> really
:esential: -> essential
:esitmated: -> estimated
:esle: -> else
:especialy: -> especially
:essencial: -> essential
:essense: -> essence
:essentail: -> essential
:essentialy: -> essentially
:essentual: -> essential
:essesital: -> essential
:establising: -> establishing
:eventally: -> eventually
:eventially: -> eventually
:eventualy: -> eventually
:everthing: -> everything
:everyting: -> everything
:eveyr: -> every
:examinated: -> examined
:exampt: -> exempt
:exapansion: -> expansion
:excact: -> exact
:excange: -> exchange
:excecute: -> execute
:excecuted: -> executed
:excecution: -> execution
:excelent: -> excellent
:excell: -> excel
:excellance: -> excellence
:excercise: -> exercise
:excisted: -> existed
:excitment: -> excitement
:exculsivly: -> exclusively
:exection: -> execution
:exectued: -> executed
:exelent: -> excellent
:exellent: -> excellent
:exept: -> except
:exeptional: -> exceptional
:exerciese: -> exercises
:exerpt: -> excerpt
:exersize: -> exercise
:exerternal: -> external
:exhibtion: -> exhibition
:exibition: -> exhibition
:exibitions: -> exhibitions
:exicting: -> exciting
:existance: -> existence
:existince: -> existence
:exmaple: -> example
:exmaples: -> examples
:expalin: -> explain
:expeced: -> expected
:expecially: -> especially
:expeiments: -> experiments
:experiance: -> experience
:experianced: -> experienced
:expierence: -> experience
:explaination: -> explanation
:explaning: -> explaining
:explicitely: -> explicitly
:explictly: -> explicitly
:exressed: -> expressed
:extemely: -> extremely
:extention: -> extension
:extentions: -> extensions
:exterme: -> extreme
:extrememly: -> extremely
:extremly: -> extremely
:extrordinary: -> extraordinary
:eyar: -> year
:eyars: -> years
:eyasr: -> years
:faciliate: -> facilitate
:facillitate: -> facilitate
:familar: -> familiar
:familes: -> families
:familliar: -> familiar
:famoust: -> famous
:fatc: -> fact
:faught: -> fought
:february: -> February
:feild: -> field
:fianite: -> finite
:fianlly: -> finally
:fidn: -> find
:fied: -> field
:fimilies: -> families
:finacial: -> financial
:finaly: -> finally
:firends: -> friends
:firts: -> first
:flexability: -> flexibility
:follwo: -> follow
:follwoing: -> following
:folowing: -> following
:fomed: -> formed
:fomr: -> form
:foootball: -> football
:forbiden: -> forbidden
:foriegn: -> foreign
:formelly: -> formerly
:foucs: -> focus
:foudn: -> found
:fougth: -> fought
:fourty: -> forty
:foward: -> forward
:freind: -> friend
:freindly: -> friendly
:frequentily: -> frequently
:friday: -> Friday
:frmo: -> from
:frome: -> from
:fromed: -> formed
:froniter: -> frontier
:fucntion: -> function
:fucntioning: -> functioning
:functionnal: -> functional
:fundametal: -> fundamental
:fundametals: -> fundamentals
:funtion: -> function
:furuther: -> further
:futher: -> further
:futhermore: -> furthermore
:gaem: -> game
:ganerate: -> generate
:garantee: -> guarantee
:garanteed: -> guaranteed
:garantees: -> guarantees
:gaurantee: -> guarantee
:gauranteed: -> guaranteed
:gaurantees: -> guarantees
:gaurd: -> guard
:gaurentee: -> guarantee
:gaurenteed: -> guaranteed
:gaurentees: -> guarantees
:geneology: -> genealogy
:generaly: -> generally
:generatting: -> generating
:geographicial: -> geographical
:gerat: -> great
:geting: -> getting
:giveing: -> giving
:glight: -> flight
:gogin: -> going
:goign: -> going
:gonig: -> going
:gouvener: -> governor
:govement: -> government
:govenment: -> government
:govenrment: -> government
:goverance: -> governance
:goverment: -> government
:govermental: -> governmental
:governer: -> governor
:governmnet: -> government
:govorment: -> government
:govormental: -> governmental
:govornment: -> government
:graet: -> great
:grammer: -> grammar
:greatful: -> grateful
:gropu: -> group
:gruop: -> group
:grwo: -> grow
:guage: -> gauge
:guaranted: -> guaranteed
:guarentee: -> guarantee
:guarenteed: -> guaranteed
:guarentees: -> guarantees
:guidence: -> guidance
:gurantee: -> guarantee
:guranteed: -> guaranteed
:gurantees: -> guarantees
:haev: -> have
:halp: -> help
:hapen: -> happen
:hapened: -> happened
:hapening: -> happening
:happend: -> happened
:happended: -> happened
:happenned: -> happened
:harasment: -> harassment
:harrasment: -> harassment
:harrassment: -> harassment
:haveing: -> having
:headquaters: -> headquarters
:healthercare: -> healthcare
:heared: -> heard
:heigher: -> higher
:heigth: -> height
:heirarchy: -> hierarchy
:helment: -> helmet
:helpfull: -> helpful
:helpped: -> helped
:herad: -> heard
:herat: -> heart
:hertiage: -> heritage
:hieght: -> height
:hierachy: -> hierarchy
:hierarcy: -> hierarchy
:higer: -> higher
:higest: -> highest
:higway: -> highway
:himselv: -> himself
:hismelf: -> himself
:hoem: -> home
:holliday: -> holiday
:housr: -> hours
:howver: -> however
:hstory: -> history
:hten: -> then
:htere: -> there
:htey: -> they
:htikn: -> think
:hting: -> thing
:htink: -> think
:htis: -> this
:husban: -> husband
:hvae: -> have
:hvaing: -> having
:hvea: -> have
:hwihc: -> which
:hwile: -> while
:hwole: -> whole
:hydogen: -> hydrogen
:hygeine: -> hygiene
:idae: -> idea
:idaeidae: -> idea
:idaes: -> ideas
:identicial: -> identical
:idesa: -> ideas
:illess: -> illness
:illiegal: -> illegal
:ilness: -> illness
:imagin: -> imagine
:imcomplete: -> incomplete
:imediately: -> immediately
:imigration: -> immigration
:immediatley: -> immediately
:immediatly: -> immediately
:immidately: -> immediately
:immidiately: -> immediately
:implamenting: -> implementing
:impliment: -> implement
:implimented: -> implemented
:importamt: -> important
:improvments: -> improvements
:inappropiate: -> inappropriate
:inbetween: -> between
:inclreased: -> increased
:includ: -> include
:includng: -> including
:incorportaed: -> incorporated
:increadible: -> incredible
:incredable: -> incredible
:inctroduce: -> introduce
:inctroduced: -> introduced
:incuding: -> including
:indecate: -> indicate
:indentical: -> identical
:indentify: -> identify
:indepedantly: -> independently
:indepedence: -> independence
:independance: -> independence
:independant: -> independent
:independantly: -> independently
:independece: -> independence
:independendet: -> independent
:indigineous: -> indigenous
:indipendence: -> independence
:indipendent: -> independent
:indipendently: -> independently
:individualy: -> individually
:indpendent: -> independent
:indpendently: -> independently
:indutrial: -> industrial
:indviduals: -> individuals
:infectuous: -> infectious
:influented: -> influenced
:infomation: -> information
:informtion: -> information
:infrigement: -> infringement
:ingreediants: -> ingredients
:inital: -> initial
:initally: -> initially
:initiaitive: -> initiative
:inlcuding: -> including
:inot: -> into
:inproving: -> improving
:insitution: -> institution
:insitutions: -> institutions
:instade: -> instead
:instatance: -> instance
:instuction: -> instruction
:instuments: -> instruments
:insurence: -> insurance
:inteligence: -> intelligence
:inteligent: -> intelligent
:intenational: -> international
:intented: -> intended
:intepretation: -> interpretation
:interational: -> international
:interferance: -> interference
:intergrated: -> integrated
:intergration: -> integration
:interm: -> interim
:internation: -> international
:interrim: -> interim
:intersted: -> interested
:intertaining: -> entertaining
:intial: -> initial
:intially: -> initially
:intrduced: -> introduced
:intrest: -> interest
:introdued: -> introduced
:intruduced: -> introduced
:intrument: -> instrument
:intrumental: -> instrumental
:intruments: -> instruments
:inudstry: -> industry
:investingate: -> investigate
:involvment: -> involvement
:itnroduced: -> introduced
:iwll: -> will
:iwth: -> with
:january: -> January
:jouney: -> journey
:jstu: -> just
:jsut: -> just
:judical: -> judicial
:juducial: -> judicial
:july: -> July
:june: -> June
:juristiction: -> jurisdiction
:knowlege: -> knowledge
:knwo: -> know
:knwos: -> knows
:konw: -> know
:konws: -> knows
:kwno: -> know
:labatory: -> laboratory
:labled: -> labeled
:labratory: -> laboratory
:laguage: -> language
:laguages: -> languages
:larg: -> large
:largst: -> largest
:lastr: -> last
:lattitude: -> latitude
:launhed: -> launched
:leage: -> league
:leanr: -> learn
:lefted: -> left
:legitamate: -> legitimate
:legitmate: -> legitimate
:lenght: -> length
:leran: -> learn
:levle: -> level
:libary: -> library
:librarry: -> library
:librery: -> library
:lieing: -> lying
:liekd: -> liked
:liesure: -> leisure
:liev: -> live
:lieved: -> lived
:liftime: -> lifetime
:likelyhood: -> likelihood
:likly: -> likely
:linls: -> links
:liscense: -> license
:lisence: -> license
:lisense: -> license
:litature: -> literature
:literture: -> literature
:littel: -> little
:litterally: -> literally
:liuke: -> like
:liveing: -> living
:lmits: -> limits
:loev: -> love
:lonley: -> lonely
:lonly: -> lonely
:lsat: -> last
:lveo: -> love
:lvoe: -> love
:maching: -> matching
:magnificient: -> magnificent
:mailny: -> mainly
:maintainance: -> maintenance
:maintainence: -> maintenance
:maintance: -> maintenance
:maintenence: -> maintenance
:maintinaing: -> maintaining
:maintioned: -> mentioned
:majoroty: -> majority
:maked: -> marked
:makeing: -> making
:makse: -> makes
:managment: -> management
:mantained: -> maintained
:manufacturedd: -> manufactured
:manufature: -> manufacture
:manufatured: -> manufactured
:manufaturing: -> manufacturing
:marjority: -> majority
:marketting: -> marketing
:marrage: -> marriage
:marraige: -> marriage
:marryied: -> married
:mathamatics: -> mathematics
:mathematicas: -> mathematics
:mchanics: -> mechanics
:meaninng: -> meaning
:mechandise: -> merchandise
:mechanim: -> mechanism
:medacine: -> medicine
:medeival: -> medieval
:medevial: -> medieval
:medievel: -> medieval
:mediterainnean: -> mediterranean
:memeber: -> member
:messanger: -> messenger
:messenging: -> messaging
:metalic: -> metallic
:milennium: -> millennium
:milion: -> million
:miliraty: -> military
:millenium: -> millennium
:millitary: -> military
:miltary: -> military
:minature: -> miniature
:minerial: -> mineral
:ministery: -> ministry
:minstries: -> ministries
:minstry: -> ministry
:minumum: -> minimum
:miscelaneous: -> miscellaneous
:miscellanious: -> miscellaneous
:miscellanous: -> miscellaneous
:misile: -> missile
:missle: -> missile
:misterious: -> mysterious
:misteryous: -> mysterious
:mkae: -> make
:mkaes: -> makes
:mkaing: -> making
:mkea: -> make
:mnay: -> many
:moderm: -> modem
:modle: -> model
:moent: -> moment
:moeny: -> money
:mohammedans: -> muslims
:moleclues: -> molecules
:monday: -> Monday
:montains: -> mountains
:morgage: -> mortgage
:morrocco: -> morocco
:morroco: -> morocco
:mosture: -> moisture
:motiviated: -> motivated
:movei: -> movie
:movment: -> movement
:mroe: -> more
:muder: -> murder
:munbers: -> numbers
:muncipality: -> municipality
:munnicipality: -> municipality
:muscels: -> muscles
:muscial: -> musical
:muscician: -> musician
:muscicians: -> musicians
:mutipl: -> multiple
:mysef: -> myself
:mysefl: -> myself
:mysterous: -> mysterious
:naturaly: -> naturally
:naturely: -> naturally
:naturual: -> natural
:naturually: -> naturally
:neccesarily: -> necessarily
:neccesary: -> necessary
:neccessarily: -> necessarily
:neccessary: -> necessary
:necesarily: -> necessarily
:necesary: -> necessary
:necessarly: -> necessarily
:necesserily: -> necessarily
:negociation: -> negotiation
:negociations: -> negotiations
:negotation: -> negotiation
:neigborhood: -> neighborhood
:neigbour: -> neighbor
:neigbours: -> neighbors
:nessasarily: -> necessarily
:neverthless: -> nevertheless
:newletters: -> newsletters
:nkow: -> know
:nkwo: -> know
:nmae: -> name
:norhern: -> northern
:northen: -> northern
:noth: -> north
:nothern: -> northern
:nowe: -> now
:nucular: -> nuclear
:nuculear: -> nuclear
:numberous: -> numerous
:ocasionally: -> occasionally
:ocasionaly: -> occasionally
:ocasions: -> occasions
:ocassion: -> occasion
:ocassional: -> occasional
:ocassionally: -> occasionally
:ocassionaly: -> occasionally
:ocassions: -> occasions
:occaison: -> occasion
:occaisonally: -> occasionally
:occasionnally: -> occasionally
:occassion: -> occasion
:occassional: -> occasional
:occassionally: -> occasionally
:occassionaly: -> occasionally
:occassions: -> occasions
:occationally: -> occasionally
:occour: -> occur
:occurance: -> occurrence
:occured: -> occurred
:occurence: -> occurrence
:occuring: -> occurring
:occurr: -> occur
:occurrance: -> occurrence
:october: -> October
:oculd: -> could
:ocuntries: -> countries
:ocuntry: -> country
:ocur: -> occur
:ocurr: -> occur
:ocurrance: -> occurrence
:ocurred: -> occurred
:ocurrence: -> occurrence
:offcers: -> officers
:offcially: -> officially
:offereings: -> offerings
:offical: -> official
:offically: -> officially
:officals: -> officials
:officaly: -> officially
:officialy: -> officially
:offred: -> offered
:oftenly: -> often
:oftne: -> often
:oging: -> going
:ohter: -> other
:omre: -> more
:onot: -> not
:onyl: -> only
:oponent: -> opponent
:oportunity: -> opportunity
:oposition: -> opposition
:opperation: -> operation
:oppinion: -> opinion
:opponant: -> opponent
:oppononent: -> opponent
:oppositition: -> opposition
:oppossed: -> opposed
:opprotunity: -> opportunity
:optoin: -> option
:optoins: -> options
:organistion: -> organization
:organiztion: -> organization
:orgin: -> origin
:orginal: -> original
:orginally: -> originally
:orginized: -> organized
:origanaly: -> originally
:originall: -> originally
:originaly: -> originally
:originially: -> originally
:originnally: -> originally
:origional: -> original
:orignally: -> originally
:orignially: -> originally
:osme: -> some
:osmething: -> something
:otehr: -> other
:oustanding: -> outstanding
:owrk: -> work
:owudl: -> would
:palce: -> place
:pani: -> pain
:paralel: -> parallel
:paralell: -> parallel
:parliment: -> parliament
:parralel: -> parallel
:parrallel: -> parallel
:parrallell: -> parallel
:partialy: -> partially
:particually: -> particularly
:particualr: -> particular
:particuarly: -> particularly
:particularily: -> particularly
:particulary: -> particularly
:pased: -> passed
:pasengers: -> passengers
:paticular: -> particular
:pavillion: -> pavilion
:peice: -> piece
:penatly: -> penalty
:penisula: -> peninsula
:penninsula: -> peninsula
:pennisula: -> peninsula
:pensinula: -> peninsula
:peom: -> poem
:peoms: -> poems
:peopel: -> people
:peotry: -> poetry
:percepted: -> perceived
:percieved: -> perceived
:performence: -> performance
:performes: -> performs
:perhasp: -> perhaps
:perheaps: -> perhaps
:perhpas: -> perhaps
:peristent: -> persistent
:permanant: -> permanent
:permenant: -> permanent
:peronal: -> personal
:perosnality: -> personality
:perphas: -> perhaps
:personel: -> personnel
:personnal: -> personal
:personnell: -> personnel
:persuit: -> pursuit
:petetion: -> petition
:phenomenom: -> phenomenon
:phenomonenon: -> phenomenon
:phenomonon: -> phenomenon
:philisophy: -> philosophy
:philosphy: -> philosophy
:physicaly: -> physically
:plantiff: -> plaintiff
:pleasent: -> pleasant
:plesant: -> pleasant
:poeple: -> people
:poety: -> poetry
:poisin: -> poison
:poitn: -> point
:polical: -> political
:politicans: -> politicians
:poltical: -> political
:polution: -> pollution
:pomotion: -> promotion
:popoulation: -> population
:popularaty: -> popularity
:populare: -> popular
:populer: -> popular
:porblem: -> problem
:portuguease: -> portuguese
:posess: -> possess
:posession: -> possession
:posion: -> poison
:possable: -> possible
:possably: -> possibly
:possesion: -> possession
:possibile: -> possible
:possibilty: -> possibility
:possiblility: -> possibility
:possiblilty: -> possibility
:possiblities: -> possibilities
:possiblity: -> possibility
:possition: -> position
:postion: -> position
:postive: -> positive
:potatos: -> potatoes
:potrait: -> portrait
:poulations: -> populations
:poweful: -> powerful
:powerfull: -> powerful
:practial: -> practical
:practicioner: -> practitioner
:practicioners: -> practitioners
:practioner: -> practitioner
:practioners: -> practitioners
:prarie: -> prairie
:pratice: -> practice
:preceeding: -> preceding
:precentage: -> percentage
:precice: -> precise
:precisly: -> precisely
:predicitons: -> predictions
:prefered: -> preferred
:preiod: -> period
:premeire: -> premiere
:premission: -> permission
:prepair: -> prepare
:prepartion: -> preparation
:preperation: -> preparation
:preriod: -> period
:presedential: -> presidential
:presense: -> presence
:presidenital: -> presidential
:presidental: -> presidential
:prespective: -> perspective
:pretection: -> protection
:previvous: -> previous
:pricipal: -> principal
:priciple: -> principle
:primarly: -> primarily
:priveledges: -> privileges
:privelege: -> privilege
:priveleges: -> privileges
:privelige: -> privilege
:priveliges: -> privileges
:privelleges: -> privileges
:privilage: -> privilege
:priviledge: -> privilege
:priviledges: -> privileges
:privledge: -> privilege
:privte: -> private
:probabilaty: -> probability
:probablly: -> probably
:probalibity: -> probability
:probaly: -> probably
:probelm: -> problem
:proble: -> problem
:proccess: -> process
:proccessing: -> processing
:procedger: -> procedure
:proceding: -> proceeding
:procedings: -> proceedings
:proceedure: -> procedure
:proces: -> process
:proffesion: -> profession
:proffesional: -> professional
:proffesor: -> professor
:progrom: -> program
:progroms: -> programs
:prominant: -> prominent
:promotted: -> promoted
:proove: -> prove
:prooved: -> proved
:propietary: -> proprietary
:propostion: -> proposition
:propper: -> proper
:propperly: -> properly
:proprietory: -> proprietary
:protocal: -> protocol
:provded: -> provided
:provicial: -> provincial
:provinicial: -> provincial
:provisiosn: -> provision
:psycology: -> psychology
:publicaly: -> publicly
:puchasing: -> purchasing
:puting: -> putting
:pwoer: -> power
:quantitiy: -> quantity
:questoin: -> question
:quizes: -> quizzes
:qutie: -> quite
:raelly: -> really
:reacing: -> reaching
:reacll: -> recall
:realitvely: -> relatively
:realsitic: -> realistic
:realtions: -> relations
:realy: -> really
:realyl: -> really
:reasearch: -> research
:reasonnable: -> reasonable
:rebounce: -> rebound
:reccomend: -> recommend
:reccomendations: -> recommendations
:reccomended: -> recommended
:reccommend: -> recommend
:reccommended: -> recommended
:receieve: -> receive
:recepient: -> recipient
:recepients: -> recipients
:receving: -> receiving
:reched: -> reached
:recident: -> resident
:recidents: -> residents
:reciepents: -> recipients
:reciept: -> receipt
:recieve: -> receive
:recieved: -> received
:reciever: -> receiver
:recievers: -> receivers
:recieves: -> receives
:recieving: -> receiving
:recipiant: -> recipient
:recipiants: -> recipients
:recived: -> received
:recogize: -> recognize
:recomend: -> recommend
:recomended: -> recommended
:recomends: -> recommends
:recommedations: -> recommendations
:reconize: -> recognize
:reconized: -> recognized
:recquired: -> required
:recrational: -> recreational
:recrod: -> record
:recuiting: -> recruiting
:referal: -> referral
:refered: -> referred
:referiang: -> referring
:refering: -> referring
:refernces: -> references
:referrence: -> reference
:referrs: -> refers
:reffered: -> referred
:refference: -> reference
:refrence: -> reference
:refrences: -> references
:refrers: -> refers
:refridgerator: -> refrigerator
:regluar: -> regular
:reguarly: -> regularly
:regulaion: -> regulation
:regularily: -> regularly
:rela: -> real
:relaly: -> really
:relatiopnship: -> relationship
:relativly: -> relatively
:releses: -> releases
:relevence: -> relevance
:relevent: -> relevant
:reliablity: -> reliability
:religeous: -> religious
:religous: -> religious
:relitavely: -> relatively
:relized: -> realized
:relpacement: -> replacement
:remaing: -> remaining
:remeber: -> remember
:renewl: -> renewal
:repect: -> respect
:reponse: -> response
:reponsible: -> responsible
:represantative: -> representative
:representive: -> representative
:representives: -> representatives
:repsectively: -> respectively
:requirment: -> requirement
:requirments: -> requirements
:requred: -> required
:resaurant: -> restaurant
:resevoir: -> reservoir
:residental: -> residential
:resistence: -> resistance
:respectivly: -> respectively
:responce: -> response
:respondible: -> responsible
:responibilities: -> responsibilities
:responisble: -> responsible
:responnsibilty: -> responsibility
:responsability: -> responsibility
:responsibile: -> responsible
:responsibilites: -> responsibilities
:responsiblity: -> responsibility
:restarant: -> restaurant
:restarants: -> restaurants
:restaraunt: -> restaurant
:restaraunts: -> restaurants
:restauraunt: -> restaurant
:resteraunt: -> restaurant
:resteraunts: -> restaurants
:resticted: -> restricted
:restraunt: -> restaurant
:resturant: -> restaurant
:resturants: -> restaurants
:resturaunt: -> restaurant
:resturaunts: -> restaurants
:retreive: -> retrieve
:returnd: -> returned
:revolutionar: -> revolutionary
:rhythem: -> rhythm
:rhythim: -> rhythm
:rised: -> rose
:rocord: -> record
:roomate: -> roommate
:rougly: -> roughly
:rulle: -> rule
:runing: -> running
:russian: -> Russian
:russina: -> Russian
:rwite: -> write
:rythem: -> rhythm
:rythim: -> rhythm
:rythm: -> rhythm
:sacrafice: -> sacrifice
:saftey: -> safety
:safty: -> safety
:salery: -> salary
:sandwhich: -> sandwich
:sasy: -> says
:sattelite: -> satellite
:saturday: -> Saturday
:saught: -> sought
:saveing: -> saving
:schedual: -> schedule
:scholarhip: -> scholarship
:scientfic: -> scientific
:scientifc: -> scientific
:scientis: -> scientist
:scince: -> science
:scinece: -> science
:scirpt: -> script
:scoll: -> scroll
:seach: -> search
:seached: -> searched
:seaches: -> searches
:secratary: -> secretary
:secretery: -> secretary
:seeked: -> sought
:seinor: -> senior
:selectoin: -> selection
:senstive: -> sensitive
:sentance: -> sentence
:sepcific: -> specific
:sepcify: -> specify
:seperate: -> separate
:seperated: -> separated
:seperately: -> separately
:seperation: -> separation
:settelement: -> settlement
:settlment: -> settlement
:severeal: -> several
:sevice: -> service
:sheild: -> shield
:shiped: -> shipped
:shiping: -> shipping
:shorly: -> shortly
:shoudl: -> should
:sicne: -> since
:siginificant: -> significant
:signficant: -> significant
:signficiant: -> significant
:signifantly: -> significantly
:significently: -> significantly
:signifigant: -> significant
:signifigantly: -> significantly
:similarily: -> similarly
:similiar: -> similar
:similiarly: -> similarly
:simmilar: -> similar
:simpley: -> simply
:simulatation: -> simulation
:simultanously: -> simultaneously
:simultion: -> simulation
:skateing: -> skating
:slowy: -> slowly
:smae: -> same
:smoe: -> some
:socities: -> societies
:soem: -> some
:sofware: -> software
:sohw: -> show
:soilders: -> soldiers
:soley: -> solely
:soliders: -> soldiers
:somehting: -> something
:somene: -> someone
:somethign: -> something
:somtimes: -> sometimes
:somwhere: -> somewhere
:sophicated: -> sophisticated
:sotry: -> story
:sotyr: -> story
:soudn: -> sound
:soudns: -> sounds
:sould: -> should
:sountrack: -> soundtrack
:sourth: -> south
:sourthern: -> southern
:spainish: -> Spanish
:spanish: -> Spanish
:specfic: -> specific
:speciallized: -> specialized
:spectauclar: -> spectacular
:spects: -> aspects
:spectum: -> spectrum
:speices: -> species
:speicfic: -> specific
:sponsered: -> sponsored
:spriritual: -> spiritual
:spritual: -> spiritual
:sqare: -> square
:sqaure: -> square
:stablility: -> stability
:stainlees: -> stainless
:staion: -> station
:standars: -> standards
:startegic: -> strategic
:startegies: -> strategies
:startegy: -> strategy
:statememts: -> statements
:statment: -> statement
:stlye: -> style
:stnad: -> stand
:stopry: -> story
:storeis: -> stories
:storise: -> stories
:stoyr: -> story
:strat: -> start
:stregth: -> strength
:strenghen: -> strengthen
:strenghening: -> strengthening
:strenght: -> strength
:strenghten: -> strengthen
:strenghtening: -> strengthening
:strenghts: -> strengths
:strentgh: -> strength
:strnad: -> strand
:structual: -> structural
:strucuture: -> structure
:struggel: -> struggle
:stucture: -> structure
:stuctured: -> structured
:studdy: -> study
:studing: -> studying
:sturcture: -> structure
:subsidary: -> subsidiary
:subsiduary: -> subsidiary
:subsquent: -> subsequent
:subsquently: -> subsequently
:substace: -> substance
:substatial: -> substantial
:subtances: -> substances
:succesful: -> successful
:succesfully: -> successfully
:succesfuly: -> successfully
:successfull: -> successful
:successully: -> successfully
:succsess: -> success
:succsessfull: -> successful
:suceed: -> succeed
:sucesful: -> successful
:sucesfully: -> successfully
:sucesfuly: -> successfully
:sucess: -> success
:sucessful: -> successful
:sucessfull: -> successful
:sucessfully: -> successfully
:sucessfuly: -> successfully
:sucide: -> suicide
:sufferred: -> suffered
:sufferring: -> suffering
:sufficent: -> sufficient
:sufficently: -> sufficiently
:sumary: -> summary
:sunday: -> Sunday
:sunglases: -> sunglasses
:suop: -> soup
:superintendant: -> superintendent
:suphisticated: -> sophisticated
:supose: -> suppose
:suposed: -> supposed
:suppoed: -> supposed
:suppy: -> supply
:suprise: -> surprise
:suprised: -> surprised
:suprising: -> surprising
:suprize: -> surprise
:suprized: -> surprised
:suprizing: -> surprising
:surfce: -> surface
:surley: -> surely
:suround: -> surround
:surounded: -> surrounded
:surounding: -> surrounding
:surronded: -> surrounded
:surrouded: -> surrounded
:surrouding: -> surrounding
:surveilence: -> surveillance
:suspention: -> suspension
:swich: -> switch
:swiming: -> swimming
:syas: -> says
:synphony: -> symphony
:sypmtoms: -> symptoms
:sytem: -> system
:sytle: -> style
:tabacco: -> tobacco
:tahn: -> than
:taht: -> that
:talekd: -> talked
:targetted: -> targeted
:tast: -> taste
:techician: -> technician
:techiniques: -> techniques
:technitian: -> technician
:technnology: -> technology
:technolgy: -> technology
:tehy: -> they
:telelevision: -> television
:televsion: -> television
:telphony: -> telephony
:temerature: -> temperature
:temperarily: -> temporarily
:tempertaure: -> temperature
:temperture: -> temperature
:temprary: -> temporary
:tepmorarily: -> temporarily
:terriories: -> territories
:terriory: -> territory
:territoy: -> territory
:terroist: -> terrorist
:tghe: -> the
:thansk: -> thanks
:thast: -> that
:theather: -> theater
:theese: -> these
:themselfs: -> themselves
:themslves: -> themselves
:ther: -> there
:therafter: -> thereafter
:therby: -> thereby
:theri: -> their
:thgat: -> that
:thge: -> the
:thier: -> their
:thign: -> thing
:thigns: -> things
:thigsn: -> things
:thikn: -> think
:thikning: -> thinking
:thikns: -> thinks
:thinkin: -> thinking
:thiunk: -> think
:thme: -> them
:thna: -> than
:thne: -> then
:thnig: -> thing
:thnigs: -> things
:thoughout: -> throughout
:threatend: -> threatened
:threatning: -> threatening
:threee: -> three
:threshhold: -> threshold
:throrough: -> thorough
:througout: -> throughout
:thsi: -> this
:thsoe: -> those
:thta: -> that
:thursday: -> Thursday
:thyat: -> that
:tiem: -> time
:tihkn: -> think
:tihs: -> this
:timne: -> time
:tiome: -> time
:tipical: -> typical
:tipically: -> typically
:tjhe: -> the
:tkae: -> take
:tkaes: -> takes
